Run_ID,Coded_X1,Coded_X2,Coded_X3,NCO_free_pct,Plasticizer_wt_pct,Filler_wt_pct,Aldimine_to_NCO_ratio,Measured_Shore_A,Measured_Elongation,Measured_Skin_Time
1,-1,-1,0,1.3,25.0,40.0,0.88,26.7,648,68.4
2,1,-1,0,1.9,25.0,40.0,0.88,33.1,538,58.1
3,-1,1,0,1.3,40.0,40.0,0.88,23.7,760,71.3
4,1,1,0,1.9,40.0,40.0,0.88,30.8,594,43.6
5,-1,0,-1,1.3,32.5,30.0,0.88,22.8,693,73.0
6,1,0,-1,1.9,32.5,30.0,0.88,28.8,754,41.1
7,-1,0,1,1.3,32.5,50.0,0.88,27.8,636,74.9
8,1,0,1,1.9,32.5,50.0,0.88,33.7,562,40.7
9,0,-1,-1,1.6,25.0,30.0,0.88,27.5,615,49.4
10,0,1,-1,1.6,40.0,30.0,0.88,25.3,725,57.0
11,0,-1,1,1.6,25.0,50.0,0.88,30.7,580,63.7
12,0,1,1,1.6,40.0,50.0,0.88,26.3,571,60.9
13,0,0,0,1.6,32.5,40.0,0.88,27.7,676,57.4
14,0,0,0,1.6,32.5,40.0,0.88,24.5,625,56.5
15,0,0,0,1.6,32.5,40.0,0.88,24.8,641,50.6
